"caseid" "gender" "race" "c1rrscal" "c1rrtsco" "c1rmscal" "c1rmtsco" "c1rgscal" "c1rgtsco" "c1fmotor" "c1gmotor" "c2rrscal" "c2rrtsco" "c2rmscal" "c2rmtsco" "c2rgscal" "c2rgtsco" "c3rrscal" "c3rrtsco" "c3rmscal" "c3rmtsco" "c3rgscal" "c3rgtsco" "c4rrscal" "c4rrtsco" "c4rmscal" "c4rmtsco" "c4rgscal" "c4rgtsco" "p1learn" "p1contro" "p1social" "t1learn" "t1contro" "t1interp" "t1extern" "t1intern" "p1center" "p1disabl" "p1htotal" "p1hfamil" "p1firkdg" "p1hrsprk" "wkmomed" "wkdaded" "wklangst" "wksesl" "wksesq5" "s2kpupri" "p1count" "plshare" "p1pencil" "p1still" "p1letter" "p1verbal" "p1expect" "p1readbo" "p1tellst" "p1singso" "p1helpar" "p1chores" "p1games" "p1nature" "p1build" "p1sport" "p1chlboo" "p1chsesa" "p2librar" "p2safepl" "p2garbag" "p2drug" "p2burglr" "p2violen" "p2vacant" "p2bktog"
"1112" 1112 2 5 19 46 17 48 11 34 5 7 37 56 24 48 14 34 40 54 24 43 15 31 71 60 34 41 20 33 3.5 2 2.67 3 3 2.8 1 1 1 2 5 3 1 15 3 6 2 45 3 1 1 2 1 2 1 2 4 2 3 4 4 3 4 1 2 1 10 2 2 2 2 2 2 2 3 3
"1113" 1113 1 1 16 42 14 43 24 53 8 6 37 56 24 48 31 55 38 52 31 50 29 48 54 50 51 58 39 56 3 2.4 3.33 1.33 1.75 2 3.6 3 1 2 4 1 1 40 5 5 2 45 3 1 3 1 3 3 3 2 4 3 2 4 2 4 1 2 4 2 200 2 2 3 3 3 2 3 3 5
"1114" 1114 1 6 17 43 16 47 16 42 4 6 21 37 23 47 18 40 25 38 31 49 28 47 43 44 37 45 26 40 2.83 2.6 3.33 2.83 3 2.8 2.8 1.5 2 2 6 1 1 60 5 2 2 45 3 1 3 2 3 3 3 2 3 3 3 4 4 4 4 1 2 2 55 1 1 2 3 3 3 3 3 4
"1115" 1115 1 4 26 56 18 50 19 46 7 8 42 59 26 50 21 43 58 64 27 46 26 45 71 60 37 44 26 40 3.83 2.8 4 2.17 2 2 2.6 2 1 2 3 2 1 40 5 5 2 45 3 2 2 2 2 2 2 2 4 4 4 4 2 3 3 3 3 3 30 1 1 3 3 3 3 3 3 3
"1116" 1116 2 3 17 44 15 45 19 46 7 8 39 57 21 44 27 50 44 56 31 50 31 51 66 57 46 53 34 50 2.67 2.8 3.33 3.67 3.75 3.8 1 2 1 2 4 1 1 45 5 5 2 45 3 1 1 2 1 3 1 1 4 4 3 4 2 2 2 2 1 2 35 1 1 2 3 3 3 3 3 2
"1117" 1117 2 1 20 48 15 44 26 55 6 6 32 52 23 47 35 60 40 54 28 47 27 47 63 55 41 49 34 50 2.67 3 3.33 3 3.25 3 1 1.25 1 2 4 1 1 46 6 3 2 45 3 2 2 1 2 2 2 2 5 4 4 4 4 4 4 3 4 4 200 1 1 3 3 3 3 3 3 7
"1118" 1118 1 1 21 49 18 49 32 62 6 8 26 44 33 57 30 54 36 50 36 54 36 57 51 48 38 46 38 54 3 3 3 2.83 3 3 1.2 1 1 2 5 1 1 30 5 5 2 45 3 2 3 2 2 2 2 1 4 3 2 1 2 3 2 2 2 3 75 2 1 3 3 3 3 3 3 7
"1119" 1119 2 3 24 53 19 52 29 59 8 8 36 55 32 56 38 64 36 50 42 60 37 59 55 51 39 47 40 57 3.67 2.8 4 3 3.25 3 1 1 1 2 5 1 1 40 6 3 2 45 3 2 3 1 1 1 1 1 5 3 2 3 3 3 3 2 2 2 60 1 2 3 3 3 3 3 3 5
"1120" 1120 1 3 38 67 31 64 32 62 7 6 52 65 34 58 38 63 66 67 44 61 38 60 76 63 58 66 44 63 3.5 3 3.33 3.17 3 3 1.8 1 1 2 4 1 1 8 5 3 2 45 3 2 1 1 1 1 1 1 4 3 2 2 3 2 3 2 3 2 100 1 1 3 3 3 3 3 3 5
"1121" 1121 2 4 13 36 10 33 16 43 5 8 24 43 18 39 19 41 32 46 20 37 24 43 52 49 31 38 33 48 3.33 3 3.33 2.33 3 2.6 1.2 1.5 2 2 5 1 1 0 5 3 2 45 3 1 3 2 2 2 3 2 5 4 2 2 2 4 2 2 2 2 45 1 2 2 3 3 3 3 3 7
"1122" 1122 2 1 24 53 18 49 21 49 9 8 32 52 23 47 28 52 44 56 25 44 30 49 62 55 43 51 34 50 3.83 2 3.67 2.67 3.75 3.6 1.6 1 1 2 7 1 1 8 4 4 2 45 3 1 3 2 2 2 3 2 4 3 3 1 2 3 3 2 2 2 100 2 1 3 2 1 2 3 3 1
"1123" 1123 1 1 24 54 25 59 25 54 4 6 40 58 35 59 33 58 43 55 48 65 35 56 64 56 57 64 44 63 4 3.2 3 3.83 3.75 3.8 1.6 1.25 1 1 4 1 1 25 4 3 2 45 3 1 2 2 2 2 2 2 6 4 4 4 3 4 3 3 3 3 100 1 1 3 3 3 3 3 3 6
"1124" 1124 2 1 21 49 15 44 18 45 6 5 33 53 21 44 19 40 42 55 31 50 21 39 60 54 41 49 27 42 2.83 3 3.33 2.67 3.5 2.5 1.8 1.25 1 2 4 1 1 16 4 4 2 45 3 1 3 2 2 3 3 2 4 4 4 3 2 2 3 1 1 4 100 1 1 3 3 3 3 3 3 7
"1125" 1125 1 1 39 68 28 62 27 56 8 7 47 62 33 57 36 61 72 71 48 65 40 62 80 66 56 63 43 61 3.17 2.6 3.67 3.83 3.5 3.6 1.8 1.25 1 2 6 1 1 6 4 6 2 45 3 1 2 1 2 1 1 1 4 4 3 4 3 4 2 2 4 3 100 2 2 3 3 3 3 3 3 7
"1126" 1126 2 1 25 54 23 57 28 57 8 7 37 56 35 59 36 61 45 57 45 62 44 68 64 56 54 61 42 60 3.67 2.8 4 3.5 3.5 3.2 2 1.25 2 1 5 1 1 0 5 5 2 45 3 1 3 2 3 3 3 2 5 4 3 4 3 4 4 3 2 4 200 1 1 3 3 3 3 3 3 7
"1127" 1127 1 3 27 57 20 52 36 67 8 8 40 58 33 57 35 60 44 56 37 55 36 57 59 53 40 48 40 58 3 3 2.67 2.5 2.25 2.25 2.8 1.25 1 2 3 2 1 35 5 5 2 45 3 1 3 2 2 2 3 2 4 4 2 3 3 3 3 2 3 3 150 1 1 2 3 3 3 3 3 3
"1128" 1128 2 3 21 50 19 52 21 49 3 4 37 56 31 55 25 48 39 53 31 49 26 45 58 52 49 56 39 56 3.5 3.4 2.33 2.67 3 3 1.4 1.75 1 2 4 1 1 45 3 3 2 45 3 1 1 1 1 1 2 1 5 4 4 4 4 4 3 3 3 3 200 1 1 2 3 2 2 3 2 2
"1129" 1129 2 6 29 59 26 60 16 43 9 5 33 53 34 58 23 46 45 57 39 57 20 38 66 57 49 56 33 48 2.33 2.8 2.33 3.17 2.5 2.25 2.2 1.5 2 2 4 1 1 0 5 5 2 45 3 1 2 2 2 2 2 2 3 3 3 3 3 3 3 2 3 2 50 2 2 3 3 3 3 3 3 2
"1130" 1130 1 6 16 41 20 52 22 51 6 8 31 51 33 57 25 48 33 48 32 50 28 47 41 42 48 55 37 53 3.17 3.4 3.67 2.5 2.25 2 3.8 1.75 1 2 3 2 1 25 5 4 2 45 3 1 2 3 4 3 1 1 4 4 4 3 4 4 2 2 3 4 19 2 1 3 2 2 2 3 3 5
"1131" 1131 2 6 21 49 15 45 15 41 8 8 34 54 22 46 18 39 34 49 23 41 19 37 57 52 34 42 26 41 2.5 2.8 2.67 2.5 2.25 2.4 1.6 1.75 2 2 4 1 1 20 3 3 2 45 3 1 2 2 1 3 2 2 4 4 3 2 4 2 4 1 2 1 99 1 2 3 3 3 3 3 3 7
"1132" 1132 1 1 26 56 22 55 31 61 6 8 28 48 33 57 36 62 33 48 33 51 38 59 47 46 49 56 37 53 2.33 2.8 3 4 3 3.4 1.2 1.25 2 2 7 1 1 30 5 3 2 45 3 2 2 1 2 2 3 2 5 4 3 2 3 4 3 3 2 2 75 1 1 2 3 3 3 3 3 6
"1133" 1133 1 1 19 47 13 41 15 40 2 6 19 36 19 40 19 41 22 35 21 38 22 41 33 35 35 43 24 38 3 2.4 3.67 2.67 2.5 2.2 2.4 2.5 1 2 4 1 1 12 5 3 2 45 3 2 1 1 1 2 1 1 5 3 4 3 4 4 4 3 3 2 100 1 1 2 2 3 3 3 3 7
"1134" 1134 2 5 16 41 17 48 24 53 5 7 20 37 21 44 25 48 21 33 22 40 25 44 34 36 26 33 36 51 3 2.8 4 2.83 3.5 3.5 2.2 1.5 1 2 4 1 1 30 3 3 2 45 3 2 4 2 1 2 1 2 4 2 2 4 2 4 3 3 4 3 40 2 2 3 3 3 3 3 3 7
"1135" 1135 1 1 19 47 13 42 23 52 5 2 24 42 17 38 29 53 25 38 25 44 35 55 39 40 36 44 38 55 3 2 2.67 1.83 1 1.25 3.8 2 1 1 3 2 1 40 6 4 2 45 3 2 3 2 3 2 3 2 3 3 2 4 2 4 2 2 2 4 60 1 1 3 3 3 3 3 3 1
"1136" 1136 2 1 22 51 29 62 35 66 7 8 37 56 36 60 29 53 38 52 45 62 38 59 52 49 53 60 38 54 2.33 2.6 2.67 2.67 2.75 2.8 1.8 1.75 1 2 4 1 1 20 4 5 2 45 3 1 2 1 2 2 2 2 4 4 4 4 4 4 2 4 3 3 150 1 1 1 3 3 1 3 3 7
"1137" 1137 2 1 23 52 19 52 29 59 4 7 29 48 22 45 30 54 36 51 35 54 33 53 50 48 50 57 33 49 3 3.4 3.67 3.67 3.75 3.8 1.4 1.25 2 2 4 1 1 0 5 3 2 45 3 1 2 2 2 2 2 2 4 3 2 3 2 4 3 1 3 4 70 2 1 3 3 3 3 3 3 7
"1138" 1138 1 1 25 55 25 59 28 58 9 6 33 53 36 60 37 62 36 51 41 59 40 62 52 49 53 60 45 65 3.67 3.4 3 3.5 4 3.6 1 1 1 2 6 1 1 8 6 3 2 45 3 1 3 2 2 3 3 2 4 4 2 1 3 3 3 2 1 2 25 2 2 3 3 3 3 3 3 7
"1139" 1139 1 1 25 55 21 55 19 46 8 8 36 55 35 59 24 47 39 53 32 50 35 56 54 50 41 48 40 57 3.83 3 3.67 2.33 2.75 2.8 2.4 1.75 1 2 6 1 1 9 4 4 2 45 3 1 2 2 2 3 3 2 6 4 4 4 2 4 2 4 2 4 200 1 1 3 3 3 3 3 3 7
"1140" 1140 1 1 11 28 9 30 8 25 2 4 16 30 12 27 9 21 15 23 12 23 8 14 22 19 15 14 13 23 2.67 2.8 2.67 1.83 2 2 2.6 2 1 2 5 1 1 40 2 3 2 45 3 1 1 1 1 1 1 1 5 2 2 4 2 2 1 1 4 2 15 1 2 3 3 3 3 3 3 1
"1141" 1141 2 2 24 54 19 51 12 36 7 8 29 48 23 47 20 42 40 53 34 53 22 41 50 48 37 44 23 37 3.67 2.4 2.67 3.83 3.75 3.2 1 1.75 1 2 4 1 1 30 5 5 2 45 3 1 2 2 2 1 2 2 6 3 3 4 3 4 4 1 3 3 30 1 1 3 3 3 3 3 3 3
"1142" 1142 1 1 21 49 11 36 21 50 5 5 23 41 29 53 26 50 28 43 31 49 30 49 51 48 45 53 33 49 2.83 2.6 3.67 2.83 2.25 2.4 4 1.75 1 2 7 1 1 30 5 4 2 45 3 1 3 2 3 2 3 3 3 3 2 2 2 3 2 1 1 3 40 1 2 2 3 3 3 3 3 7
"1143" 1143 1 1 12 32 12 40 14 40 4 8 15 28 20 42 20 42 18 28 27 46 23 42 35 37 56 63 30 45 2.5 3.2 3.33 2.83 3.25 2.4 1.4 1.5 1 2 6 1 1 24 3 5 2 45 3 1 2 2 2 2 2 2 4 3 1 2 2 3 2 1 2 3 40 2 1 3 3 3 3 3 3 0
"1144" 1144 2 1 28 58 25 59 26 55 5 8 45 61 34 58 31 55 53 61 39 57 31 51 70 59 53 59 40 57 3 2.8 3 3.83 4 4 1 1.25 2 2 4 1 1 40 3 5 2 45 3 1 3 2 2 2 3 2 4 3 3 2 3 3 3 3 1 2 50 2 1 3 3 3 3 3 3 2
"1145" 1145 2 1 18 44 20 53 20 48 7 6 26 44 31 55 23 46 26 39 30 49 31 51 61 54 45 52 39 55 3 2.6 3.33 3.17 3.5 3.8 1.2 1 2 2 5 1 1 0 5 4 2 45 3 1 2 1 2 1 1 2 3 4 3 2 2 4 3 2 2 2 100 1 2 2 3 3 2 3 3 7
"1146" 1146 2 1 28 58 22 56 28 58 3 6 33 52 27 51 29 53 39 53 41 59 40 63 57 52 46 53 38 54 3.83 3 2.67 3 3 3 1.4 1.5 1 1 5 1 1 19 5 3 2 45 3 1 2 2 1 2 2 2 4 4 4 4 4 4 4 4 2 3 200 2 1 3 3 3 3 3 3 7
"1147" 1147 1 1 35 65 30 63 29 59 6 6 59 69 36 60 27 51 70 70 43 60 31 51 76 64 56 63 33 48 2.83 3.2 3 3.67 3.5 3.6 1 1.25 1 1 5 1 1 13 3 3 2 45 3 1 4 3 3 2 4 2 5 3 3 3 3 4 3 2 2 2 50 1 1 2 3 3 3 3 3 7
"1148" 1148 1 1 21 49 18 50 27 57 5 8 31 50 29 53 32 57 32 46 36 54 33 54 39 41 37 44 38 54 3 2.4 3 2.67 3.25 3.75 1.2 1 1 2 7 1 1 18 5 3 2 45 3 1 2 2 3 3 3 2 6 3 3 4 2 3 3 2 3 3 75 2 1 3 3 3 3 3 3 5
"1149" 1149 2 1 21 49 16 47 22 51 7 6 32 51 23 47 28 51 37 51 32 50 33 53 69 59 41 49 33 49 3 3.2 3.67 3.67 4 3.2 1 1.75 1 2 4 4 1 24 5 5 2 45 3 1 2 1 1 1 1 1 4 4 4 4 4 4 4 2 2 4 100 1 1 3 3 3 3 3 3 3
"1150" 1150 2 1 21 50 18 50 23 52 9 5 36 56 33 56 31 55 52 60 40 58 32 52 75 62 57 64 36 52 3.83 2.8 4 3.33 2.25 3 1.6 1.25 2 2 6 1 1 24 5 5 2 45 3 1 3 1 1 1 2 1 2 4 4 3 3 3 2 2 2 2 100 1 2 3 3 3 3 3 3 3
"1151" 1151 2 6 37 66 20 53 33 64 8 8 51 64 28 52 31 56 64 66 32 51 38 59 74 62 39 46 45 66 3.17 2.8 3.67 3 3.25 3.4 1.2 2 2 2 4 1 1 0 6 5 2 45 3 1 3 1 1 1 3 2 6 4 4 3 3 4 3 3 1 2 150 1 1 2 2 2 3 3 3 5
"1152" 1152 1 1 16 42 16 46 15 41 5 1 33 53 23 47 26 50 33 48 33 52 27 46 38 39 44 51 29 44 3.67 3 3.67 2.17 2.25 2 3 1.25 2 2 5 1 1 0 5 4 2 45 3 1 3 1 3 1 3 1 2 3 4 3 3 4 4 2 4 3 50 1 1 2 3 3 3 3 3 4
"1153" 1153 2 3 36 66 35 68 42 76 8 8 42 59 38 62 40 67 48 58 39 57 46 72 78 65 54 60 48 72 3.67 3.2 3.67 3 2.5 2.6 1 1.75 1 2 5 1 1 15 6 3 2 45 3 1 1 1 2 3 2 1 4 4 4 4 2 4 4 2 2 3 120 1 1 3 3 3 3 3 3 7
"1154" 1154 2 2 27 57 18 50 18 45 6 2 40 58 23 47 19 41 34 49 22 40 23 41 47 46 25 32 23 37 3.33 2.8 2.67 3.5 4 3.6 1 1.5 1 2 4 1 2 70 3 6 2 45 3 1 3 2 2 2 2 2 4 4 3 4 3 3 4 1 3 1 35 2 1 2 3 3 3 3 3 2
"1155" 1155 2 1 28 59 17 48 24 53 6 8 35 54 22 45 23 46 37 51 33 51 28 48 39 41 35 42 31 46 2.67 2.2 4 3.33 3.5 3.6 1 1 1 2 4 1 1 53 5 5 2 45 3 1 2 2 2 1 2 1 6 4 2 4 2 3 3 2 2 2 100 1 2 3 2 2 2 3 3 7
"1156" 1156 1 1 15 40 20 53 29 59 7 6 38 57 31 55 34 58 41 54 39 57 34 55 48 47 49 56 37 53 3.33 1.8 4 2.83 3 3.2 1.4 1.25 1 2 8 1 1 0 5 3 2 45 3 1 1 1 1 2 2 1 3 4 4 4 4 4 3 2 4 4 200 1 1 3 3 3 3 3 3 7
"1157" 1157 1 8 28 58 23 57 27 57 8 7 35 54 29 53 32 57 40 53 31 49 32 52 73 61 53 60 38 54 3.17 2.8 3.33 3.5 3.5 3.2 1 1 2 2 4 2 1 40 4 3 2 45 3 1 3 2 2 2 2 1 5 4 2 2 3 2 4 2 2 3 50 1 2 1 3 3 3 3 3 2
"1158" 1158 1 1 23 52 23 57 26 56 7 8 32 51 39 62 35 60 38 52 46 63 36 57 61 54 52 59 41 58 3 2.8 4 4 4 4 1 1 1 2 4 1 1 25 5 3 2 45 3 1 2 1 4 1 3 2 4 3 4 3 3 3 1 2 2 2 30 1 2 2 3 3 2 3 3 2
"1159" 1159 1 1 19 46 22 56 32 63 8 7 27 46 26 50 35 60 28 43 30 48 35 56 47 46 45 52 39 56 3.67 3.2 4 3.33 3.75 3.25 1 2 1 2 4 1 1 21 5 3 2 46 4 1 3 1 1 1 3 1 4 3 3 2 3 2 2 1 3 3 50 1 2 2 3 3 3 3 3 5
"1160" 1160 1 1 24 53 22 55 31 61 7 8 38 57 32 56 30 54 39 53 37 55 35 56 69 59 40 48 37 53 3.67 3.4 3.33 3 3 2.4 1.6 1.25 1 2 4 1 1 50 6 5 2 46 4 1 3 2 3 2 3 1 6 2 2 3 3 4 2 2 2 3 80 1 2 3 3 3 3 3 3 2
"1161" 1161 1 1 25 55 27 61 18 45 6 6 30 50 34 58 25 48 34 49 43 60 29 49 56 52 53 60 39 55 2.5 3 2.67 2.83 2 2.4 1.2 1.25 2 2 4 1 2 35 7 6 1 46 4 1 1 2 2 3 2 2 4 4 4 2 2 1 2 2 2 2 40 1 2 3 3 3 3 3 3 7
"1162" 1162 2 1 35 65 34 67 37 69 8 8 46 62 39 63 42 70 49 59 49 65 45 72 75 62 58 66 44 63 3.33 3.2 3 3.33 3.5 3.8 1 1.5 1 2 4 1 1 12 6 5 2 46 4 1 4 2 3 3 3 2 4 3 4 4 1 4 2 4 4 4 150 1 2 3 3 3 3 3 3 7
"1163" 1163 2 8 22 51 16 46 18 46 7 5 34 54 21 44 31 55 32 47 27 45 30 50 56 51 41 49 36 51 3.33 2.8 3.67 2.5 3 2.2 1.6 1.75 1 2 5 1 1 29 5 6 2 46 4 1 2 2 2 2 2 2 4 2 2 4 4 4 3 2 2 2 200 1 2 3 3 3 3 3 3 1
"1164" 1164 2 4 20 47 16 46 18 45 1 8 37 56 22 46 28 52 36 50 34 52 27 47 49 47 40 48 34 50 3.17 2.8 3.33 3.5 3.25 3.8 1.6 1.25 1 2 7 1 1 35 4 6 1 46 4 1 3 2 2 2 2 2 6 4 4 4 2 3 2 1 3 4 20 1 1 2 3 3 3 3 3 7
"1165" 1165 1 1 16 43 21 55 29 59 7 8 29 48 26 50 33 57 42 55 44 61 36 57 62 55 50 57 41 58 2.67 2.8 3.67 3.33 2.75 3.8 1.6 1 1 2 4 1 1 50 4 5 2 46 4 2 2 1 3 2 3 2 4 4 4 3 2 3 3 2 3 4 50 1 1 3 3 3 3 3 3 7
"1166" 1166 2 1 32 62 38 71 38 70 7 8 38 57 41 64 38 63 44 56 51 66 39 61 61 54 51 57 43 62 3.83 3.4 4 4 4 4 1 1.25 1 2 4 1 1 6 6 4 2 46 3 2 2 2 2 2 2 2 6 4 4 4 4 4 4 2 2 4 200 1 1 3 3 3 3 3 3 7
"1167" 1167 1 3 23 52 26 60 28 58 4 8 39 57 34 58 31 56 46 57 38 56 34 54 61 54 48 55 39 56 2.67 2.8 3.33 3 3.25 3 1.6 1.25 1 2 4 1 1 30 5 5 2 46 3 2 3 2 2 2 2 2 5 2 2 4 2 2 2 2 2 2 20 1 1 2 3 3 2 3 3 3
"1168" 1168 2 2 21 49 18 50 19 47 8 8 31 50 29 53 27 50 36 51 31 49 37 58 49 47 40 48 32 47 3.33 4 3 3.67 3.5 3.8 1.6 1.25 1 2 4 1 1 35 5 3 2 46 4 1 1 1 1 3 1 1 6 4 3 3 2 4 2 1 4 3 110 1 2 1 1 1 3 1 1 1
"1169" 1169 1 3 16 41 17 49 39 71 9 6 27 46 24 48 36 61 26 40 26 45 39 61 38 40 33 41 43 61 2.83 3.2 4 2.17 3 1.6 1 2.5 2 2 6 1 1 0 3 5 2 46 4 1 4 1 2 1 2 3 3 3 3 4 4 2 1 2 2 4 150 1 1 3 2 2 2 3 3 2
"1170" 1170 2 1 22 51 27 61 28 58 8 6 33 53 31 55 33 58 38 52 32 51 38 60 65 56 43 51 37 53 3.5 2.6 4 3.5 2.75 2.4 2 1 1 2 7 1 1 0 4 4 2 46 4 1 1 1 1 1 2 2 4 4 4 4 3 4 3 3 3 4 75 1 1 2 1 3 3 3 1 2
"1171" 1171 2 1 45 71 39 71 42 75 5 6 73 75 48 70 41 68 82 77 48 64 45 72 82 68 56 63 48 75 3.67 3 3.67 4 4 4 1 1.25 1 2 4 1 1 8 5 6 2 46 4 2 1 1 1 1 1 1 5 4 4 4 4 4 4 3 3 4 200 1 1 3 3 3 3 3 3 2
"1172" 1172 1 1 20 48 17 48 27 57 4 8 33 53 22 46 31 55 40 53 31 50 37 58 62 55 38 46 42 59 3.17 2.6 3 3.33 3 2.75 1.2 1 2 2 5 1 1 0 3 5 2 46 4 2 3 3 3 3 3 2 4 2 2 3 3 4 3 2 4 3 100 2 2 3 3 3 3 3 3 6
"1173" 1173 2 1 31 61 25 59 30 60 5 8 36 55 36 60 35 59 40 53 40 58 39 60 50 48 48 55 19 32 3.17 3 4 3.33 3.25 3.25 1.2 1 1 2 3 2 1 12 5 3 2 46 4 2 1 1 1 2 1 1 4 4 2 4 4 4 3 3 3 3 200 2 1 3 3 3 3 3 3 2
"1174" 1174 2 6 21 50 19 52 34 65 6 7 26 45 27 51 41 69 36 51 33 52 42 65 52 49 34 42 43 62 2.67 3 3.33 3.33 2.5 2.4 2 1.25 1 2 6 1 1 12 5 5 2 46 4 1 1 2 1 2 1 1 6 4 3 4 3 4 3 4 1 4 20 1 1 2 3 2 3 3 3 2
"1175" 1175 2 3 38 67 26 60 26 56 5 8 42 60 36 60 40 66 62 66 42 60 35 56 67 58 50 57 41 58 3.17 3 2.67 4 3.33 3.25 1 1 1 2 4 1 1 18 3 4 2 46 4 1 1 1 2 2 2 1 4 4 2 2 2 2 2 2 2 2 150 1 1 3 3 3 3 3 3 6
"1176" 1176 1 1 21 49 16 46 18 46 4 6 32 52 23 47 23 46 37 51 22 40 25 44 53 50 35 42 29 44 3 2.6 3 3 3 3 1.2 1 2 1 4 1 1 35 3 5 2 46 4 1 3 2 2 3 3 2 4 3 3 2 3 4 3 2 2 3 75 2 2 3 3 3 3 3 3 0
"1177" 1177 2 1 42 70 38 71 35 65 6 8 55 66 37 61 33 58 64 67 50 66 34 54 80 66 55 61 44 64 3 3 3 3.83 2.5 2.6 2.2 1 1 2 4 1 1 8 4 3 2 46 3 1 2 2 2 2 2 2 4 3 3 3 3 2 3 2 3 3 25 2 1 3 3 3 2 3 3 7
"1178" 1178 2 1 34 64 27 61 32 62 8 7 39 58 36 60 37 62 40 53 43 60 35 56 69 59 48 55 45 66 3 2.6 4 4 4 4 1 1.25 2 2 4 1 1 0 4 5 2 46 4 1 1 2 2 2 1 2 4 3 2 2 2 3 2 1 2 2 50 1 2 3 3 3 3 3 3 7
"1179" 1179 1 1 17 44 21 54 27 56 8 8 33 53 37 61 37 62 36 51 34 52 37 59 69 59 50 57 44 64 3 3.2 3 4 3.75 3.6 1 1.5 2 2 5 1 1 0 5 4 2 46 4 1 2 2 2 2 2 1 2 4 2 2 3 4 4 3 3 2 70 2 1 3 3 3 3 3 3 5
"1180" 1180 1 1 15 40 16 47 22 51 6 8 28 47 26 51 31 55 28 42 36 54 29 49 54 51 42 50 40 58 4 3.2 4 2.67 2.25 2 2 2 2 2 6 1 1 0 5 5 2 46 4 2 2 3 2 1 2 2 4 4 4 2 3 4 4 2 2 3 50 1 1 2 3 3 3 3 3 5
"1181" 1181 2 1 13 36 17 49 21 49 4 4 22 39 19 41 21 44 30 45 28 47 23 42 50 48 39 47 29 44 2.83 2.6 2.67 3 2.5 2.6 2.2 2 2 2 8 1 1 0 5 3 2 46 3 2 2 2 2 2 2 2 3 3 2 3 2 4 3 2 2 2 100 2 2 3 3 3 3 3 3 7
"1182" 1182 2 1 16 42 15 45 20 49 7 8 28 48 25 49 29 53 28 42 31 50 31 50 51 49 40 48 37 53 3.5 3.2 3 3 3.25 3 1 1.25 1 2 4 1 1 32 5 3 2 46 4 1 3 2 2 2 1 2 4 3 3 4 2 2 3 3 2 2 30 2 1 3 3 3 3 3 3 5
"1183" 1183 2 1 26 55 22 56 17 44 5 6 38 57 36 60 22 44 44 56 35 53 24 43 60 54 45 52 31 46 3.17 3.4 3.33 3.83 4 3.8 1 1 1 1 4 1 1 4 5 5 2 46 4 1 1 2 2 1 1 2 4 4 2 3 2 3 3 3 2 2 125 1 2 3 3 3 3 3 3 7
"1184" 1184 2 1 22 50 16 47 27 56 5 5 29 48 23 47 33 57 39 53 31 49 34 55 51 48 41 49 45 65 3.33 3.4 3.33 2.17 2.25 2.2 2.8 1.25 2 2 5 1 1 0 3 5 2 46 4 1 1 2 2 2 2 1 2 4 4 4 4 4 3 2 2 4 100 2 1 2 2 3 3 3 3 7
"1185" 1185 2 1 25 55 24 58 23 52 7 8 34 54 24 48 27 51 46 57 37 56 30 50 72 61 55 62 41 58 2.83 2.8 2.67 4 4 4 1 1 1 2 3 2 1 35 3 5 2 46 4 1 2 2 2 2 2 2 4 3 1 3 4 2 3 2 1 1 20 2 1 3 3 3 3 3 3 3
"1186" 1186 2 1 22 51 19 51 27 57 5 4 24 42 21 43 28 52 31 45 23 41 27 46 54 50 38 46 37 53 3 2.4 3.67 4 4 4 1 1 1 2 4 1 1 12 5 4 2 46 4 1 1 2 1 2 2 2 4 4 4 2 2 4 3 3 2 3 200 2 2 3 3 3 3 3 3 7
"1187" 1187 2 1 22 50 33 66 28 58 7 6 26 45 39 63 34 59 34 49 41 59 42 66 46 45 57 64 41 58 3.67 2.8 3 2.83 3.5 3 1 2.25 1 2 6 1 1 35 5 5 2 46 4 1 3 1 2 2 2 1 6 3 3 2 3 2 2 2 4 4 100 1 1 3 3 3 3 3 3 5
"1188" 1188 1 1 21 49 31 65 23 52 4 8 28 47 43 66 35 59 30 45 48 64 33 54 49 47 58 66 36 51 3 2.8 3 3.17 4 3.2 1.4 1.5 2 2 10 1 1 0 3 3 2 46 4 1 1 1 2 1 2 2 2 3 3 2 2 4 4 2 3 3 200 2 1 3 3 3 3 3 3 7
"1189" 1189 2 1 25 55 17 48 37 68 7 3 39 57 36 60 43 72 39 53 39 57 42 65 64 56 45 53 42 60 3 3.4 3.67 3.83 4 3.8 1.2 1.25 1 2 4 1 1 45 3 5 2 46 4 2 3 1 3 1 3 1 4 4 2 4 2 4 4 2 2 2 200 2 1 3 3 3 3 3 3 1
"1190" 1190 2 1 14 38 16 47 19 47 9 8 32 52 32 56 26 49 39 53 32 51 33 53 50 48 49 56 41 59 2.83 3.2 3 3.5 3.25 3 1 1 1 2 7 1 1 28 5 5 2 46 4 2 2 2 2 2 3 2 4 2 2 2 1 4 2 2 1 1 200 1 1 3 3 3 2 3 3 7
"1191" 1191 2 1 26 55 23 57 34 65 9 7 36 55 32 56 32 57 41 54 34 52 37 58 68 58 52 59 38 54 3 3.8 3.67 2.67 3.25 3 1.2 1.5 2 2 4 1 1 0 2 6 2 46 3 2 3 2 3 2 2 1 5 4 4 4 4 3 2 3 2 3 175 1 2 1 3 3 3 3 3 7
