"caseid" "gender" "race" "c1rrscal" "c1rrtsco" "c1rmscal" "c1rmtsco" "c1rgscal" "c1rgtsco" "c1fmotor" "c1gmotor" "c2rrscal" "c2rrtsco" "c2rmscal" "c2rmtsco" "c2rgscal" "c2rgtsco" "c3rrscal" "c3rrtsco" "c3rmscal" "c3rmtsco" "c3rgscal" "c3rgtsco" "c4rrscal" "c4rrtsco" "c4rmscal" "c4rmtsco" "c4rgscal" "c4rgtsco" "p1learn" "p1contro" "p1social" "t1learn" "t1contro" "t1interp" "t1extern" "t1intern" "p1center" "p1disabl" "p1htotal" "p1hfamil" "p1firkdg" "p1hrsprk" "wkmomed" "wkdaded" "wklangst" "wksesl" "wksesq5" "s2kpupri" "p1count" "plshare" "p1pencil" "p1still" "p1letter" "p1verbal" "p1expect" "p1readbo" "p1tellst" "p1singso" "p1helpar" "p1chores" "p1games" "p1nature" "p1build" "p1sport" "p1chlboo" "p1chsesa" "p2librar" "p2safepl" "p2garbag" "p2drug" "p2burglr" "p2violen" "p2vacant" "p2bktog"
"37" 37 1 1 15 40 19 51 17 44 3 6 30 49 29 53 23 46 45 57 34 53 27 47 43 44 55 61 33 48 3.17 1.6 4 2.5 3 2.8 2.2 2 2 1 6 1 1 0 2 1 2 35 1 1 1 1 1 2 1 1 5 4 3 4 3 3 4 3 4 4 20 2 2 3 2 3 2 3 3 3
"38" 38 1 1 14 38 13 40 14 39 4 2 21 38 17 38 13 32 22 35 20 37 21 39 30 31 24 30 22 36 2.5 1.8 2.67 3 4 2.8 1 3 1 2 11 1 1 40 1 3 2 35 1 1 2 2 1 2 2 1 6 3 3 2 4 2 3 2 4 3 50 1 1 2 3 3 3 3 3 0
"39" 39 2 2 27 57 19 51 14 39 5 6 46 62 24 48 20 42 49 59 35 54 21 40 66 57 41 49 30 45 3 3.4 2.67 4 3.25 3 1.2 2 1 2 5 1 1 0 3 3 2 35 1 1 2 2 2 2 2 3 3 4 1 4 1 4 2 1 1 1 12 1 2 2 3 3 3 3 3 1
"40" 40 1 2 16 42 10 34 19 46 5 8 21 38 19 41 16 36 26 39 24 42 19 36 28 29 31 38 25 40 3 3.2 4 3.67 2.5 2.8 1.4 1 2 2 5 1 1 0 3 3 2 35 1 1 2 3 2 2 3 2 3 2 2 2 1 4 3 2 4 4 40 1 1 2 3 2 3 3 3 3
"41" 41 2 2 14 38 11 37 14 39 1 2 23 40 14 32 14 34 26 39 20 37 22 40 27 28 20 25 17 29 2.67 2.2 2.33 3.33 3.5 3 1.4 1.25 1 2 7 1 1 46 3 2 2 35 1 1 2 2 2 2 2 2 3 3 2 2 3 4 3 1 3 3 3 1 1 1 1 1 3 3 1 5
"42" 42 2 1 31 61 19 51 29 59 8 4 34 54 34 57 29 53 36 51 34 53 37 58 55 51 52 59 45 66 2.67 2.6 2.67 4 3.5 3.4 1 1.25 1 2 4 1 1 40 6 5 2 35 1 1 4 2 4 2 4 2 4 3 3 3 3 3 3 2 2 3 40 2 1 3 3 3 3 3 3 7
"43" 43 2 4 12 33 15 45 12 36 8 7 20 37 18 40 15 35 46 57 37 55 19 37 62 55 41 49 19 31 2.33 2.4 2.67 3.5 3.75 3.4 1 1 1 2 5 1 1 20 1 1 1 35 1 1 1 2 2 2 2 2 3 4 4 1 1 2 2 1 1 1 9 1 1 2 3 3 2 3 3 2
"44" 44 1 4 23 52 30 63 26 56 4 4 42 59 34 58 26 49 38 52 40 58 16 32 52 49 43 51 21 34 2.83 3.4 2.67 3 2.75 2.5 2 1.25 2 2 6 1 1 0 1 1 1 35 1 1 1 1 1 1 1 1 6 2 2 2 2 2 2 2 2 2 3 1 2 3 3 3 3 3 3 2
"45" 45 1 1 18 45 22 56 18 46 6 8 30 49 22 45 23 45 31 45 29 48 32 52 42 43 40 48 29 44 2.83 2.6 3 1.5 2.75 2.8 2 2 1 2 3 2 1 20 2 2 2 35 1 1 4 1 3 2 3 1 2 4 4 3 3 4 1 2 2 4 50 2 2 3 2 1 3 3 3 2
"46" 46 1 2 20 49 20 53 23 52 7 7 24 42 26 50 22 45 36 50 31 50 34 55 54 50 33 41 31 46 3.5 3.2 4 2.33 3 2.4 1.2 2 1 2 7 1 1 12 2 3 2 35 1 1 2 1 1 1 2 1 4 2 2 4 3 3 4 4 4 4 55 2 2 2 3 3 3 3 3 2
